注文日,商品名,付帯情報,価格
2019/10/27,テセウスの船（８） (モーニングコミックス),[Kindle 版] 東元俊哉  販売: 株式会社 講談社,660
2019/11/1,ONE PIECE モノクロ版 94 (ジャンプコミックスDIGITAL),[Kindle 版] 尾田栄一郎  販売: 株式会社集英社,460
2020/1/9,***,***,880
2020/1/21,夫の扶養からぬけだしたい (LScomic),[Kindle 版] ゆむい  販売: Amazon Services International LLC,800
2020/1/25,王様ランキング　6巻,[Kindle 版] 十日草輔  販売: Amazon Services International LLC,683
2020/2/10,ONE PIECE モノクロ版 95 (ジャンプコミックスDIGITAL),[Kindle 版] 尾田栄一郎  販売: 株式会社集英社,460
2020/2/25,嫌がってるキミが好き(2) (リュエルコミックス),[Kindle 版] 鬼山 瑞樹  販売: Amazon Services International LLC,673
2020/2/25,嫌がってるキミが好き(3) (リュエルコミックス),[Kindle 版] 鬼山 瑞樹  販売: Amazon Services International LLC,606
2020/2/26,嫌がってるキミが好き(4) (リュエルコミックス),[Kindle 版] 鬼山 瑞樹  販売: Amazon Services International LLC,673
2020/2/26,嫌がってるキミが好き(5) (リュエルコミックス),[Kindle 版] 鬼山瑞樹  販売: Amazon Services International LLC,606
2020/3/4,うなぎ鬼 （２） (ヤングキングコミックス),"[Kindle 版] 落合裕介, 高田侑  販売: Amazon Services International LLC",495
2020/3/4,うなぎ鬼 (3) (ヤングキングコミックス),"[Kindle 版] 落合裕介, 高田侑  販売: Amazon Services International LLC",495
2020/3/21,銀の匙 Silver Spoon（１） (少年サンデーコミックス),[Kindle 版] 荒川弘  販売: 小学館,462
2020/4/27,***,***,288
2020/4/27,アルテ ３巻 (ゼノンコミックス),[Kindle 版] 大久保圭  販売: Amazon Services International LLC,191
2020/4/27,アルテ ４巻 (ゼノンコミックス),[Kindle 版] 大久保圭  販売: Amazon Services International LLC,319
2020/5/5,ONE PIECE モノクロ版 96 (ジャンプコミックスDIGITAL),[Kindle 版] 尾田栄一郎  販売: 株式会社集英社,460
2020/5/13,***,***,99
2020/5/13,***,***,99
2020/5/13,君が僕らを悪魔と呼んだ頃（１０） (マガジンポケットコミックス),[Kindle 版] さの隆  販売: 株式会社 講談社,462
2020/5/13,君が僕らを悪魔と呼んだ頃（１１） (マガジンポケットコミックス),[Kindle 版] さの隆  販売: 株式会社 講談社,462
2020/5/13,君が僕らを悪魔と呼んだ頃（１２） (マガジンポケットコミックス),[Kindle 版] さの隆  販売: 株式会社 講談社,462
